League Id;Team Id;Conf Id;Div Id;Wins;Losses;Ties;OTL;Shootout Wins;Shootout Losses;Points;Goals For;Goals Against;PCT
0;0;0;0;10;7;0;1;0;1;22;77;74;.579
0;1;0;0;15;5;0;1;0;0;31;98;63;.738
0;3;1;1;12;8;0;1;0;0;25;76;69;.595
0;4;0;0;8;12;0;1;0;0;17;72;83;.405
0;6;1;0;10;7;0;2;1;0;22;85;73;.579
0;7;1;1;10;8;0;1;1;1;22;67;73;.550
0;8;0;1;6;12;0;2;0;0;14;69;86;.350
0;9;0;1;11;11;0;0;1;0;22;65;71;.500
0;10;1;1;5;13;0;0;0;1;11;44;77;.289
0;11;0;0;9;11;0;0;2;0;18;75;97;.450
0;12;1;0;9;13;0;1;0;0;19;70;87;.413
0;15;0;1;7;11;0;3;1;1;18;68;94;.409
0;16;0;1;13;6;0;1;0;2;29;85;66;.659
0;17;1;0;15;6;0;0;0;0;30;93;59;.714
0;18;0;1;15;5;0;0;1;1;31;90;66;.738
0;19;1;1;13;6;0;0;2;1;27;78;66;.675
0;20;1;0;13;8;0;0;0;0;26;86;62;.619
0;21;0;0;8;10;0;2;0;0;18;83;91;.450
0;22;0;0;9;12;0;1;0;0;19;80;94;.432
0;25;1;1;12;9;0;0;2;0;24;95;78;.571
0;26;1;1;12;7;0;1;0;1;26;74;74;.619
0;27;0;1;13;4;0;2;2;0;28;70;55;.737
0;29;1;0;5;12;0;0;0;1;11;52;80;.306
0;31;1;0;6;9;0;1;0;3;16;70;84;.421
1;32;0;1;8;10;0;0;1;1;17;47;66;.447
1;33;1;0;8;8;0;0;1;1;17;46;53;.500
1;34;0;0;13;7;0;0;2;0;26;52;55;.650
1;35;0;1;13;6;0;1;0;0;27;69;47;.675
1;36;1;1;11;8;0;1;2;1;24;49;49;.571
1;37;0;0;8;6;0;0;0;3;19;55;43;.559
1;38;1;0;6;11;0;0;3;1;13;47;68;.361
1;39;0;1;13;5;0;3;0;0;29;66;56;.690
1;40;1;1;10;5;0;1;2;2;23;62;46;.639
1;41;1;0;8;8;0;1;2;1;18;51;61;.500
1;42;1;0;10;9;0;0;0;1;21;59;54;.525
1;43;1;1;5;11;0;2;0;0;12;43;66;.333
1;44;1;1;8;9;0;1;0;1;18;68;64;.474
1;45;1;1;8;9;0;0;0;1;17;53;62;.472
1;46;1;0;11;6;0;1;0;0;23;55;43;.639
1;47;0;1;8;9;0;3;0;0;19;56;68;.475
1;48;0;0;8;12;0;0;3;0;16;48;59;.400
1;49;0;0;13;6;0;0;3;0;26;60;50;.684
1;50;1;0;7;10;0;0;0;1;15;41;56;.417
1;51;0;1;4;14;0;0;0;0;8;38;66;.222
1;52;0;1;8;7;0;0;1;2;18;45;45;.529
1;53;0;0;12;6;0;1;0;0;25;51;39;.658
1;54;0;0;11;6;0;0;1;3;25;54;49;.625
1;55;0;0;8;6;0;2;0;0;18;65;54;.563
1;56;1;1;9;8;0;0;2;1;19;59;55;.528
1;57;1;1;13;6;0;1;4;1;28;62;47;.667
1;58;1;1;8;7;0;0;1;3;19;42;45;.528
1;59;0;1;7;9;0;0;0;1;15;49;63;.441
1;60;1;0;15;2;0;0;0;0;30;63;24;.882
1;61;0;0;8;9;0;3;1;2;21;56;63;.477
1;62;1;1;12;4;0;1;0;2;27;63;44;.711
1;63;1;1;9;8;0;1;1;1;20;48;62;.526
2;86;0;0;11;8;0;0;1;1;23;81;83;.575
2;87;0;0;8;11;0;2;0;1;19;77;98;.432
2;88;0;0;15;7;0;0;2;0;30;84;75;.682
2;89;0;0;10;9;0;0;2;0;20;63;71;.526
2;90;0;0;7;12;0;1;1;0;15;66;86;.375
2;91;0;1;8;10;0;0;2;1;17;55;60;.447
2;92;0;1;10;9;0;1;0;0;21;79;75;.525
2;93;0;1;11;5;0;0;0;3;25;81;60;.658
2;94;0;1;14;6;0;0;0;0;28;80;52;.700
2;95;0;1;4;14;0;1;0;1;10;61;87;.250
2;96;1;0;12;7;0;0;2;1;25;68;63;.625
2;97;1;0;10;8;0;1;0;0;21;75;75;.553
2;98;1;0;10;11;0;0;1;0;20;72;77;.476
2;99;1;0;8;10;0;0;1;1;17;68;76;.447
2;100;1;0;8;13;0;0;0;0;16;72;85;.381
2;101;1;1;13;8;0;0;0;0;26;87;88;.619
2;102;1;1;13;6;0;0;2;2;28;92;80;.667
2;103;1;1;8;14;0;0;0;1;17;82;94;.370
2;104;1;1;15;4;0;1;1;1;32;105;61;.762
2;105;1;1;9;10;0;0;0;2;20;82;84;.476
3;64;0;0;8;9;0;0;0;0;16;53;48;.471
3;65;0;0;10;8;0;1;0;1;22;82;68;.550
3;66;0;0;7;6;0;1;0;2;17;55;48;.531
3;67;0;0;10;7;0;1;1;0;21;57;56;.583
3;68;0;0;11;5;0;0;3;2;24;59;50;.667
3;69;0;1;13;4;0;1;0;0;27;75;55;.750
3;70;0;1;10;6;0;1;0;1;22;80;55;.611
3;71;0;1;6;10;0;0;0;1;13;54;67;.382
3;72;1;1;7;9;0;1;0;1;16;50;58;.444
3;73;0;1;6;10;0;0;2;2;14;40;73;.389
3;74;0;1;12;7;0;0;0;0;24;71;56;.632
3;75;0;1;10;7;0;2;1;0;22;54;60;.579
3;76;1;0;9;11;0;0;1;0;18;68;82;.450
3;77;1;0;9;5;0;0;1;1;19;48;44;.633
3;78;1;0;9;8;0;1;1;2;21;66;62;.525
3;79;1;0;9;7;0;1;1;0;19;62;54;.559
3;80;1;0;10;8;0;1;2;0;21;58;60;.553
3;81;1;1;11;8;0;0;1;0;22;61;60;.579
3;82;1;1;5;10;0;0;2;2;12;44;66;.353
3;83;1;1;12;7;0;0;1;1;25;68;60;.625
3;84;1;1;7;10;0;1;1;2;17;55;80;.425
3;85;1;1;9;7;0;0;1;1;19;55;53;.559
4;106;-1;0;11;7;0;1;2;0;23;71;71;.605
4;107;-1;0;8;10;0;0;0;2;18;75;72;.450
4;108;-1;0;9;11;0;0;2;1;19;72;84;.452
4;109;-1;0;12;6;0;1;1;2;27;86;69;.643
4;110;-1;0;6;11;0;1;1;1;14;59;68;.368
4;111;-1;1;15;6;0;0;4;1;31;80;74;.705
4;112;-1;1;4;12;0;3;1;1;12;55;83;.300
4;113;-1;1;10;7;0;2;0;0;22;72;67;.579
4;114;-1;1;14;5;0;1;1;1;30;82;57;.714
4;115;-1;1;10;7;0;2;0;1;23;75;73;.575
4;116;-1;1;13;7;0;0;0;1;27;79;63;.643
4;117;-1;2;9;9;0;1;0;1;20;69;76;.500
4;118;-1;2;13;6;0;1;1;0;27;74;64;.675
4;119;-1;2;12;8;0;0;0;0;24;88;62;.600
4;120;-1;2;6;12;0;2;0;1;15;65;92;.357
4;121;-1;2;8;13;0;0;1;1;17;65;95;.386
4;122;-1;2;12;8;0;1;2;0;25;73;85;.595
4;123;-1;0;12;6;0;1;0;2;27;79;64;.643
